Bond_id,Coupon,Yield
1032,6.875,5.5
1033,5,4.3242
1034,5,4.343
1035,2.7,2.731
1036,4,4.064
1037,4,4.064
1038,3.625,3.3803
1039,3.625,3.38
1040,2.25,2.3118
1041,3.35,3.1587
1042,1.9,1.9848
1043,4,3.4749
1044,4,3.475
1045,4.5,4.4582
1046,4.5,4.458
1047,4,4.0587
1048,4,4.059
1049,2.4,2.6527
1050,2.4,2.653
1051,2.4,2.4318
1052,3.625,3.0791
1053,3.875,3.4713
1054,4.125,4.0019
1055,4.125,4.002
1056,2.55,2.3596
1057,3.625,3.2641
1058,2.2,2.3278
1059,4.75,5.8436
1060,4.75,5.843
1061,3.875,3.7775
1062,3.875,3.777
1063,4.5,4.0648
1064,4.5,4.065
1065,5.125,5.865
1066,5.125,5.8645
1067,3.5,3.3763
1068,3.5,3.376
1069,2.4,2.35
1070,3.375,3.0431
1071,6.875,.
1072,6.875,5.957
1073,6.375,4.3974
1074,6.375,4.397
1075,3.5,3.4226
1076,3.5,3.505
1077,4.625,4.03
1078,4.625,4.03
1079,4.875,4.3558
1080,4.875,4.337
1081,1.85,2.254
1082,6,6.385
1083,6,6.385
1084,1.9,2.491
1085,1.7,2.0579
1086,1.7,2.05
1087,1.75,2.3223
1088,4.625,3.4101
1089,1.7,2.2613
1090,0.9,1.5675
1091,4.625,4.7012
1092,4.625,4.701
1093,4.2,2.5016
1094,3.75,3.8851
1095,3.75,3.885
1096,2.5,2.9906
1097,2,2.4992
1098,4.7,3.0459
1099,4.8,3.1469
1100,2.979,3.047
1101,2.979,3.072
1102,5.375,5.93
1103,5.375,5.93
1104,5.5,4.423
1105,6,4.805
1106,6,4.7523
1107,7.875,4.2931
1108,7.875,4.293
1109,1.15,1.4909
1110,1.6,2.0856
1111,2.625,0.438
1112,4.625,3.133
1113,1.15,1.7575
1114,2.5,2.8947
1115,4.5,3.7496
1116,4.75,4.0777
1117,2.15,2.4584
1118,6,3.6485
1119,6,3.648
1120,6.375,4.9018
1121,6.375,4.835
1122,1.875,2.4303
1123,4.625,2.591
1124,4.625,2.591
1125,3.161,2.8784
1126,6.875,3.9142
1127,6.875,3.911
1128,4.625,4.0601
1129,4.625,4.06
1130,6.75,4.2012
1131,6.75,4.201
1132,3.54,3.0836
1133,4.875,-150
1134,1.875,2.2695
1135,4.125,3.6571
1136,5,3.8821
1137,5,3.882
1138,2.704,2.8146
1139,3.875,3.1946
1140,3.25,3.3163
1141,4.625,3.8875
1142,1.4,1.7379
1143,3.875,4.3322
1144,3.875,4.332
1145,5.625,5.6239
1146,5.625,5.624
1147,6.125,4.5824
